block,block_Integer,block_Alphabet,block_alp_int
309,309,,0
216,216,,0
211,211,,0
202,202,,0
235,235,,0
232,232,,0
308,308,,0
220,220,,0
219,219,,0
247,247,,0
320,320,,0
252,252,,0
223,223,,0
230,230,,0
329,329,,0
313,313,,0
117,117,,0
110,110,,0
343,343,,0
345,345,,0
346,346,,0
121,121,,0
129,129,,0
130,130,,0
128,128,,0
127,127,,0
126,126,,0
403,403,,0
404,404,,0
405,405,,0
417,417,,0
418,418,,0
419,419,,0
441,441,,0
442,442,,0
443,443,,0
444,444,,0
450,450,,0
435,435,,0
433,433,,0
434,434,,0
424,424,,0
425,425,,0
466,466,,0
471,471,,0
474,474,,0
570,570,,0
586,586,,0
455,455,,0
465,465,,0
463,463,,0
564,564,,0
560,560,,0
558,558,,0
559,559,,0
538,538,,0
534,534,,0
601,601,,0
603,603,,0
604,604,,0
608,608,,0
611,611,,0
505,505,,0
503,503,,0
610,610,,0
607,607,,0
524,524,,0
513,513,,0
643,643,,0
542,542,,0
548,548,,0
550,550,,0
639,639,,0
637,637,,0
330,330,,0
333,333,,0
156,156,,0
152,152,,0
178,178,,0
180,180,,0
209,209,,0
231,231,,0
254,254,,0
103,103,,0
105,105,,0
344,344,,0
324,324,,0
120,120,,0
124,124,,0
414,414,,0
438,438,,0
427,427,,0
428,428,,0
473,473,,0
573,573,,0
585,585,,0
456,456,,0
544,544,,0
640,640,,0
638,638,,0
646,646,,0
150,150,,0
179,179,,0
336,336,,0
335,335,,0
401,401,,0
439,439,,0
430,430,,0
460,460,,0
459,459,,0
716,716,,0
545,545,,0
620,620,,0
622,622,,0
259,259,,0
101,101,,0
18,18,,0
28,28,,0
29,29,,0
30,30,,0
75,75,,0
76,76,,0
501,501,,0
502,502,,0
504,504,,0
2,2,,0
20,20,,0
21,21,,0
59,59,,0
58,58,,0
55,55,,0
22,22,,0
104,104,,0
107,107,,0
69,69,,0
33,33,,0
46,46,,0
116,116,,0
115,115,,0
125,125,,0
138,138,,0
87,87,,0
100,100,,0
412,412,,0
402,402,,0
416,416,,0
136,136,,0
529,529,,0
510,510,,0
525,525,,0
218,218,,0
213,213,,0
532,532,,0
533,533,,0
536,536,,0
537,537,,0
44,44,,0
540,540,,0
702,702,,0
615,615,,0
712,712,,0
50,50,,0
54,54,,0
606,606,,0
616,616,,0
15,15,,0
34,34,,0
36,36,,0
35,35,,0
41,41,,0
42,42,,0
53,53,,0
51,51,,0
8,8,,0
718,718,,0
724,724,,0
166,166,,0
71,71,,0
82,82,,0
78,78,,0
79,79,,0
80,80,,0
134,134,,0
132,132,,0
131,131,,0
133,133,,0
89,89,,0
62,62,,0
422,422,,0
507,507,,0
508,508,,0
517,517,,0
95,95,,0
93,93,,0
43,43,,0
543,543,,0
547,547,,0
708,708,,0
707,707,,0
