street_name,street_name_int
ANG MO KIO AVE 1,13
ANG MO KIO AVE 3,16
ANG MO KIO AVE 4,17
ANG MO KIO AVE 10,14
ANG MO KIO AVE 5,18
ANG MO KIO AVE 8,20
ANG MO KIO AVE 6,19
ANG MO KIO AVE 9,21
ANG MO KIO AVE 2,15
BEDOK RESERVOIR RD,45
BEDOK NTH ST 3,42
BEDOK STH RD,50
NEW UPP CHANGI RD,340
BEDOK NTH RD,39
BEDOK STH AVE 1,47
CHAI CHEE RD,115
CHAI CHEE DR,114
BEDOK NTH AVE 4,38
BEDOK STH AVE 3,49
BEDOK STH AVE 2,48
BEDOK NTH ST 2,41
BEDOK NTH ST 4,43
BEDOK NTH AVE 2,36
BEDOK NTH AVE 3,37
BEDOK NTH AVE 1,35
BEDOK NTH ST 1,40
CHAI CHEE ST,116
SIN MING RD,437
SHUNFU RD,425
BT BATOK ST 11,70
BT BATOK WEST AVE 8,86
BT BATOK WEST AVE 6,84
BT BATOK ST 21,71
BT BATOK EAST AVE 5,68
BT BATOK EAST AVE 4,67
HILLVIEW AVE,200
BT BATOK CTRL,65
BT BATOK ST 31,75
BT BATOK EAST AVE 3,66
TAMAN HO SWEE,448
TELOK BLANGAH CRES,487
BEO CRES,52
TELOK BLANGAH DR,488
DEPOT RD,166
TELOK BLANGAH RISE,490
JLN BT MERAH,236
HENDERSON RD,199
INDUS RD,228
BT MERAH VIEW,90
HENDERSON CRES,198
BT PURMEI RD,92
TELOK BLANGAH HTS,489
EVERTON PK,178
KG BAHRU HILL,292
REDHILL CL,385
HOY FATT RD,226
HAVELOCK RD,197
JLN KLINIK,241
JLN RUMAH TINGGI,248
JLN BT HO SWEE,235
KIM CHENG ST,294
MOH GUAN TER,335
TELOK BLANGAH WAY,492
KIM TIAN RD,299
KIM TIAN PL,298
EMPRESS RD,175
QUEEN'S RD,382
FARRER RD,181
JLN KUKOH,242
OUTRAM PK,345
SHORT ST,424
SELEGIE RD,397
UPP CROSS ST,505
WATERLOO ST,510
QUEEN ST,380
BUFFALO RD,97
ROWELL RD,393
ROCHOR RD,392
BAIN ST,30
SMITH ST,438
VEERASAMY RD,509
TECK WHYE AVE,484
TECK WHYE LANE,486
CLEMENTI AVE 3,143
WEST COAST DR,512
CLEMENTI AVE 2,142
CLEMENTI AVE 5,145
CLEMENTI AVE 4,144
CLEMENTI AVE 1,141
WEST COAST RD,513
CLEMENTI WEST ST 1,151
CLEMENTI WEST ST 2,152
CLEMENTI ST 13,149
C'WEALTH AVE WEST,99
CLEMENTI AVE 6,146
CLEMENTI ST 14,150
CIRCUIT RD,139
MACPHERSON LANE,322
JLN PASAR BARU,246
GEYLANG SERAI,192
EUNOS CRES,176
SIMS DR,434
ALJUNIED CRES,5
GEYLANG EAST AVE 1,189
DAKOTA CRES,163
PINE CL,366
HAIG RD,196
BALAM RD,31
JLN DUA,238
GEYLANG EAST CTRL,191
EUNOS RD 5,177
HOUGANG AVE 3,208
HOUGANG AVE 5,210
HOUGANG AVE 1,205
HOUGANG ST 22,218
HOUGANG AVE 10,206
LOR AH SOO,318
HOUGANG ST 11,216
HOUGANG AVE 7,212
HOUGANG ST 21,217
TEBAN GDNS RD,483
JURONG EAST AVE 1,255
JURONG EAST ST 32,260
JURONG EAST ST 13,256
JURONG EAST ST 21,257
JURONG EAST ST 24,258
JURONG EAST ST 31,259
PANDAN GDNS,347
YUNG KUANG RD,579
HO CHING RD,201
HU CHING RD,227
BOON LAY DR,61
BOON LAY AVE,60
BOON LAY PL,62
JURONG WEST ST 52,271
JURONG WEST ST 41,268
JURONG WEST AVE 1,261
JURONG WEST ST 42,269
JLN BATU,233
ST. GEORGE'S RD,441
NTH BRIDGE RD,342
FRENCH RD,186
BEACH RD,33
WHAMPOA DR,514
UPP BOON KENG RD,504
BENDEMEER RD,51
WHAMPOA WEST,517
LOR LIMAU,320
KALLANG BAHRU,285
GEYLANG BAHRU,188
DORSET RD,167
OWEN RD,346
KG ARANG RD,291
JLN BAHAGIA,232
MOULMEIN RD,338
TOWNER RD,501
JLN RAJAH,247
KENT RD,290
AH HOOD RD,2
KING GEORGE'S AVE,300
CRAWFORD LANE,162
MARINE CRES,324
MARINE DR,325
MARINE TER,327
C'WEALTH CL,100
C'WEALTH DR,102
TANGLIN HALT RD,481
C'WEALTH CRES,101
DOVER RD,170
MARGARET DR,323
GHIM MOH RD,194
DOVER CRES,169
STIRLING RD,442
MEI LING ST,334
HOLLAND CL,203
HOLLAND AVE,202
HOLLAND DR,204
DOVER CL EAST,168
SELETAR WEST FARMWAY 6,398
LOR LEW LIAN,319
SERANGOON NTH AVE 1,420
SERANGOON AVE 2,415
SERANGOON AVE 4,417
SERANGOON CTRL,418
TAMPINES ST 11,458
TAMPINES ST 21,460
TAMPINES ST 91,480
TAMPINES ST 81,475
TAMPINES AVE 4,450
TAMPINES ST 22,461
TAMPINES ST 12,459
TAMPINES ST 23,462
TAMPINES ST 24,463
TAMPINES ST 41,467
TAMPINES ST 82,476
TAMPINES ST 83,477
TAMPINES AVE 5,451
LOR 2 TOA PAYOH,310
LOR 8 TOA PAYOH,317
LOR 1 TOA PAYOH,308
LOR 5 TOA PAYOH,314
LOR 3 TOA PAYOH,312
LOR 7 TOA PAYOH,316
TOA PAYOH EAST,497
LOR 4 TOA PAYOH,313
TOA PAYOH CTRL,496
TOA PAYOH NTH,498
POTONG PASIR AVE 3,370
POTONG PASIR AVE 1,368
UPP ALJUNIED LANE,503
JOO SENG RD,254
MARSILING LANE,330
MARSILING DR,329
MARSILING RISE,332
MARSILING CRES,328
WOODLANDS CTR RD,526
WOODLANDS ST 13,545
WOODLANDS ST 11,544
YISHUN RING RD,563
YISHUN AVE 5,557
YISHUN ST 72,574
